Oh no, me he caído! Me duele la cadera.;No te preocupes, estoy aquí para ayudarte. ¿Puedes ponerte de pie?
No puedo levantarme. Creo que me he lastimado la cadera.; Llamaré a una ambulancia. Mientras tanto, por favor mantén la calma y no te muevas.
Me siento mareado y tengo dolor en el pecho.; Esto suena preocupante. Por favor, siéntate y respira profundamente. Llamaré a una ambulancia inmediatamente.
No puedo respirar bien y siento presión en el pecho.; ¡Espera! Estoy llamando para obtener ayuda. Mantente calmado e intenta respirar profundamente.
Algo anda mal! Siento un dolor agudo en mi brazo izquierdo.; Mantén la calma. Podría ser un signo de un problema cardíaco. Llamaré a una ambulancia de inmediato.
Me duele mucho el pecho y tengo dificultades para respirar.; Esto podría ser un signo de un ataque al corazón. Por favor, siéntate y trata de relajarte. Llamaré a una ambulancia de inmediato.
Tengo una fuerte presión en el pecho y dificultad para respirar.; No te muevas. Esto suena como un posible ataque al corazón. Llamaré a una ambulancia de inmediato.
Me siento débil y tengo palpitaciones en el pecho.; Esto podría ser un signo de un problema cardíaco. Por favor, siéntate y trata de mantener la calma. Llamaré para pedir ayuda.
No me siento bien, tengo un fuerte dolor en el pecho.; Por favor, quédate quieto. Podría ser un signo de un problema cardíaco. Llamaré a una ambulancia de inmediato.
¡Necesito ayuda! Siento un dolor punzante en el pecho.; Por favor, trata de mantener la calma. Podría ser un signo de un ataque al corazón. Estoy llamando para obtener ayuda inmediatamente.
Me siento mareado y tengo dificultad para respirar.; Eso suena alarmante. Por favor, siéntate y respira profundamente. Llamaré a una ambulancia de inmediato.
¡Siento un dolor muy fuerte en el pecho!; Por favor, mantén la calma. Podría ser un signo de un ataque al corazón. Estoy llamando para obtener ayuda de inmediato.
Me duele el pecho y me siento mareado.; Por favor, siéntate y trata de mantener la calma. Esto podría ser un signo de un ataque al corazón. Llamaré a una ambulancia de inmediato.
Siento un dolor agudo en el pecho y me falta el aliento.; Por favor, quédate quieto. Llamaré a una ambulancia. Mantén la calma e intenta respirar profundamente.
Tengo dolor en el pecho y hormigueo en el brazo izquierdo.; Esto suena como un posible ataque al corazón. Por favor, mantente quieto. Llamaré para pedir ayuda de inmediato.
